,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
102,2022-12-03 17:55:00,2022-12-05,208071,YM OZON,Неизвестная категория(-),-1431.0,2022-12
103,2022-12-03 08:44:00,2022-12-03,276287,MONETKA,Супермаркеты,-119.99,2022-12
104,2022-12-03 07:26:00,2022-12-03,294291,SAMOKAT,Супермаркеты,-800.0,2022-12
105,2022-12-03 00:00:00,2022-12-05,263946,CHACHACHAY.ME,Супермаркеты,-100.0,2022-12
106,2022-12-02 19:55:00,2022-12-03,255290,IVI.RU 6,Отдых и развлечения,-129.0,2022-12
107,2022-12-02 19:15:00,2022-12-03,282606,YM OZON,Неизвестная категория(-),-2823.0,2022-12
108,2022-12-02 18:54:00,2022-12-02,287178,MAGNIT MM KABATCHIK,Супермаркеты,-1417.61,2022-12
109,2022-12-02 18:20:00,2022-12-03,230391,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1235.0,2022-12
110,2022-12-02 00:00:00,2022-12-05,279152,CloudTips,Рестораны и кафе,-107.6,2022-12
111,2022-12-01 15:57:00,2022-12-01,256967,MAGNIT MM KABATCHIK,Супермаркеты,-178.67,2022-12
112,2022-12-01 09:53:00,2022-12-01,219199,SAMOKAT,Супермаркеты,-596.0,2022-12
113,2022-11-30 20:01:00,2022-12-01,202508,SAMOKAT,Супермаркеты,-1161.0,2022-12
115,2022-11-30 00:00:00,2022-12-01,258729,IP STELYUK NATALIA V,Автомобиль,-2000.0,2022-12
116,2022-11-30 00:00:00,2022-12-01,202506,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
117,2022-11-30 00:00:00,2022-12-01,264358,IP STELYUK NATALIA V,Автомобиль,-7250.0,2022-12
118,2022-11-29 19:14:00,2022-11-29,297455,MAGNIT MM KABATCHIK,Супермаркеты,-855.89,2022-11
119,2022-11-29 08:58:00,2022-11-29,289172,SAMOKAT,Супермаркеты,-553.0,2022-11
120,2022-11-29 00:00:00,2022-11-30,233134,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
121,2022-11-28 09:34:00,2022-11-28,258034,SAMOKAT,Супермаркеты,-604.0,2022-11
122,2022-11-28 00:00:00,2022-11-29,252747,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
123,2022-11-27 19:17:00,2022-11-28,225014,MAGNIT MM KABATCHIK,Супермаркеты,-395.64,2022-11
124,2022-11-27 00:00:00,2022-11-28,255868,IP STELYUK NATALIA V,Автомобиль,-3500.0,2022-11
126,2022-11-26 18:21:00,2022-11-26,242852,MAGNIT MM KABATCHIK,Супермаркеты,-305.95,2022-11
127,2022-11-26 08:17:00,2022-11-26,231969,SAMOKAT,Супермаркеты,-714.0,2022-11
128,2022-11-26 00:00:00,2022-11-28,227057,Yandex.Zapravki,Автомобиль,-1834.44,2022-11
129,2022-11-24 17:12:00,2022-11-24,259087,MAGNIT MM KABATCHIK,Супермаркеты,-1266.96,2022-11
130,2022-11-24 15:34:00,2022-11-24,299802,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-11
131,2022-11-24 14:27:00,2022-11-24,228388,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-979.75,2022-11
132,2022-11-24 10:02:00,2022-11-24,282663,SAMOKAT,Супермаркеты,-886.0,2022-11
133,2022-11-24 00:00:00,2022-11-25,291138,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
134,2022-11-23 20:55:00,2022-11-24,277153,SAMOKAT,Супермаркеты,-422.0,2022-11
135,2022-11-23 20:16:00,2022-11-24,297113,SAMOKAT,Супермаркеты,-1000.0,2022-11
138,2022-11-23 00:00:00,2022-11-24,283201,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
139,2022-11-23 00:00:00,2022-11-24,271029,Tyumen' TRC Kolumb,Все для дома,-5254.0,2022-11
140,2022-11-23 00:00:00,2022-11-24,267667,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
141,2022-11-23 00:00:00,2022-11-26,276521,ADACT,Все для дома,-3300.0,2022-11
142,2022-11-22 20:38:00,2022-11-23,232195,SAMOKAT,Супермаркеты,-877.0,2022-11
143,2022-11-22 00:00:00,2022-11-23,218220,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
144,2022-11-22 00:00:00,2022-11-23,222089,SANTEHPROFI,Прочие расходы,-485.0,2022-11
145,2022-11-21 18:43:00,2022-11-22,262774,SAMOKAT,Супермаркеты,-1047.0,2022-11
147,2022-11-21 10:50:00,2022-11-21,249730,MAGNIT MM KABATCHIK,Супермаркеты,-216.96,2022-11
148,2022-11-21 00:00:00,2022-11-22,261590,SANTEHPROFI,Прочие расходы,-1051.0,2022-11
149,2022-11-21 00:00:00,2022-11-22,279137,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
150,2022-11-21 00:00:00,2022-11-22,278730,NALOG.RU,Прочие расходы,-1633.43,2022-11
152,2022-11-20 00:00:00,2022-11-21,247397,SLUZHBA DOSTAVKI EDY 1,Рестораны и кафе,-1067.0,2022-11
153,2022-11-20 00:00:00,2022-11-21,250914,CHACHACHAY.ME,Супермаркеты,-50.0,2022-11
154,2022-11-19 19:01:00,2022-11-21,212631,AKVATEL,Супермаркеты,-600.0,2022-11
156,2022-11-18 20:03:00,2022-11-19,247866,YM OZON 2,Неизвестная категория(-),-12082.0,2022-11
158,2022-11-17 15:19:00,2022-11-17,283390,SBERBANK ONL@IN PLATEZH,Прочие операции,-640.0,2022-11
160,2022-11-17 14:14:00,2022-11-17,203835,APTEKA N1561,Здоровье и красота,-1500.0,2022-11
161,2022-11-17 13:38:00,2022-11-17,216520,APTEKA  633,Здоровье и красота,-964.0,2022-11
162,2022-11-17 13:35:00,2022-11-17,203989,MAGNIT MM CHERVISHEVSKIJ,Супермаркеты,-161.95,2022-11
163,2022-11-16 12:19:00,2022-11-16,262283,YM OZON,Неизвестная категория(-),-710.0,2022-11
164,2022-11-16 12:17:00,2022-11-16,268001,YM OZON,Неизвестная категория(-),-508.0,2022-11
