,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
573,2022-07-24 00:00:00,2022-07-25,228125,MAIL.RU*DELIVERY-CLUB,Рестораны и кафе,-100.0,2022-07
574,2022-07-23 19:18:00,2022-07-25,296748,SAMOKAT,Супермаркеты,-660.0,2022-07
575,2022-07-23 17:58:00,2022-07-23,274719,MAGNIT MM KABATCHIK,Супермаркеты,-417.96,2022-07
576,2022-07-23 08:01:00,2022-07-23,225072,MONETKA,Супермаркеты,-239.98,2022-07
577,2022-07-23 06:51:00,2022-07-23,245487,SAMOKAT,Супермаркеты,-293.0,2022-07
578,2022-07-23 00:00:00,2022-07-25,200526,CHACHACHAY.ME,Супермаркеты,-50.0,2022-07
580,2022-07-21 18:09:00,2022-07-22,264136,YM OZON,Прочие расходы,-1023.0,2022-07
581,2022-07-21 16:53:00,2022-07-21,208056,PYATEROCHKA 21288,Супермаркеты,-568.72,2022-07
582,2022-07-21 16:45:00,2022-07-21,210558,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-546.51,2022-07
583,2022-07-21 15:51:00,2022-07-21,287745,SP KRIOLAJF.,Здоровье и красота,-725.5,2022-07
584,2022-07-21 10:01:00,2022-07-21,232728,IVI.RU 7,Отдых и развлечения,-99.0,2022-07
585,2022-07-21 07:04:00,2022-07-21,280064,SAMOKAT,Супермаркеты,-297.0,2022-07
586,2022-07-20 19:35:00,2022-07-20,203940,MONETKA,Супермаркеты,-237.18,2022-07
587,2022-07-20 10:43:00,2022-07-21,243761,YM OZON,Прочие расходы,-1260.0,2022-07
588,2022-07-20 07:02:00,2022-07-20,287678,SAMOKAT,Супермаркеты,-713.0,2022-07
589,2022-07-20 00:00:00,2022-07-21,201538,CHACHACHAY.ME,Супермаркеты,-50.0,2022-07
591,2022-07-19 19:28:00,2022-07-19,200882,MAGNIT MM KABATCHIK,Супермаркеты,-496.96,2022-07
592,2022-07-19 19:19:00,2022-07-19,259040,APTECHNOE UCHREZHD-IE,Здоровье и красота,-146.0,2022-07
593,2022-07-19 08:08:00,2022-07-19,279120,MONETKA,Супермаркеты,-239.98,2022-07
594,2022-07-19 06:40:00,2022-07-19,245953,SAMOKAT,Супермаркеты,-466.0,2022-07
595,2022-07-18 18:13:00,2022-07-19,267503,IVI.RU 7,Отдых и развлечения,-299.0,2022-07
596,2022-07-18 17:20:00,2022-07-18,259372,APTECHNOE UCHREZHD-IE,Здоровье и красота,-169.0,2022-07
597,2022-07-18 17:12:00,2022-07-18,262370,MONETKA,Супермаркеты,-1938.24,2022-07
598,2022-07-18 12:13:00,2022-07-18,237031,MONETKA,Супермаркеты,-199.97,2022-07
599,2022-07-18 00:00:00,2022-07-18,204118,Погашение процентов за покупки вне льготного периода,Прочие операции,-571.66,2022-07
600,2022-07-17 19:00:00,2022-07-18,238170,SAMOKAT,Супермаркеты,-654.0,2022-07
602,2022-07-17 14:18:00,2022-07-18,291881,YM OZON 2,Прочие расходы,-11733.0,2022-07
604,2022-07-17 00:00:00,2022-07-19,202994,Delivery-Club.Grocery,Супермаркеты,-1127.0,2022-07
605,2022-07-16 18:50:00,2022-07-16,246721,MAGNIT MM KABATCHIK,Супермаркеты,-339.98,2022-07
606,2022-07-16 07:59:00,2022-07-16,215700,PYATEROCHKA 21288,Супермаркеты,-209.98,2022-07
608,2022-07-13 08:21:00,2022-07-13,213819,MAGNIT MM KABATCHIK,Супермаркеты,-134.99,2022-07
609,2022-07-13 07:50:00,2022-07-13,242777,SAMOKAT,Супермаркеты,-633.0,2022-07
610,2022-07-13 00:00:00,2022-07-13,209311,Погашение процентов за покупки вне льготного периода,Прочие операции,-5000.0,2022-07
611,2022-07-12 18:41:00,2022-07-12,219880,SOVETSKIJ,Отдых и развлечения,-90.0,2022-07
612,2022-07-12 17:40:00,2022-07-12,237751,SOVETSKIJ,Отдых и развлечения,-1200.0,2022-07
613,2022-07-12 16:38:00,2022-07-12,288489,SOVETSKIJ,Отдых и развлечения,-350.0,2022-07
614,2022-07-12 16:37:00,2022-07-12,261641,SOVETSKIJ,Отдых и развлечения,-100.0,2022-07
615,2022-07-12 16:32:00,2022-07-12,270181,SOVETSKIJ,Отдых и развлечения,-390.0,2022-07
616,2022-07-12 16:20:00,2022-07-12,284260,SOVETSKIJ,Отдых и развлечения,-200.0,2022-07
617,2022-07-12 15:13:00,2022-07-12,298197,SOVETSKIJ,Отдых и развлечения,-200.0,2022-07
618,2022-07-12 09:00:00,2022-07-12,295300,SOVETSKIJ,Отдых и развлечения,-300.0,2022-07
619,2022-07-12 07:22:00,2022-07-12,202185,SOVETSKIJ,Отдых и развлечения,-280.0,2022-07
620,2022-07-12 05:47:00,2022-07-12,243578,SOVETSKIJ,Отдых и развлечения,-180.0,2022-07
621,2022-07-11 17:19:00,2022-07-11,219976,SOVETSKIJ,Отдых и развлечения,-1200.0,2022-07
622,2022-07-11 16:17:00,2022-07-11,207952,OOO AVTOGID,Автомобиль,-225.0,2022-07
623,2022-07-11 15:29:00,2022-07-11,253824,MAGNIT MM KABATCHIK,Супермаркеты,-2611.44,2022-07
624,2022-07-11 12:41:00,2022-07-12,247946,SAMOKAT,Супермаркеты,-511.0,2022-07
625,2022-07-11 09:53:00,2022-07-12,286169,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-07
626,2022-07-10 18:26:00,2022-07-11,204185,SAMOKAT,Супермаркеты,-345.0,2022-07
627,2022-07-09 18:03:00,2022-07-09,205304,OREKH PRO,Супермаркеты,-499.0,2022-07
628,2022-07-09 17:58:00,2022-07-09,251569,APTECHNOE UCHREZHD-IE,Здоровье и красота,-34.0,2022-07
629,2022-07-09 07:58:00,2022-07-09,276963,MAGNIT MM KABATCHIK,Супермаркеты,-269.98,2022-07
631,2022-07-08 19:32:00,2022-07-09,289466,YANDEX.ZAPRAVKI,Автомобиль,-1000.8,2022-07
633,2022-07-08 08:13:00,2022-07-08,223494,MAGNIT MM KABATCHIK,Супермаркеты,-134.99,2022-07
634,2022-07-06 17:13:00,2022-07-07,222583,YM C4IP,"Комунальные платежи, связь, интернет.",-290.0,2022-07
636,2022-07-05 08:03:00,2022-07-05,202139,PYATEROCHKA 3709,Супермаркеты,-264.38,2022-07
638,2022-07-04 14:24:00,2022-07-04,287465,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-07
639,2022-07-04 14:24:00,2022-07-04,293473,SBERBANK ONL@IN PLATEZH,Прочие операции,-14140.0,2022-07
641,2022-07-04 12:58:00,2022-07-04,258262,MAGAZIN VEGA,"Комунальные платежи, связь, интернет.",-2052.0,2022-07
642,2022-07-04 12:08:00,2022-07-04,254403,MONETKA,Супермаркеты,-119.99,2022-07
643,2022-07-04 11:31:00,2022-07-04,286964,CHIO CHIO,Здоровье и красота,-450.0,2022-07
644,2022-07-04 00:00:00,2022-07-05,266421,KHOLODILNOE OBORUDOVAN,Все для дома,-15159.0,2022-07
645,2022-07-03 19:18:00,2022-07-04,223536,YM OZON,Прочие расходы,-1336.0,2022-07
646,2022-07-03 16:58:00,2022-07-04,243790,MONETKA,Супермаркеты,-1124.13,2022-07
647,2022-07-03 00:00:00,2022-07-04,243782,WHOOSH,Транспорт,-112.0,2022-07
648,2022-07-03 00:00:00,2022-07-04,269949,WHOOSH,Транспорт,-84.0,2022-07
649,2022-07-02 00:00:00,2022-07-04,279077,WHOOSH,Транспорт,-105.0,2022-07
650,2022-07-02 00:00:00,2022-07-04,283389,WHOOSH,Транспорт,-84.0,2022-07
651,2022-07-01 17:18:00,2022-07-02,288591,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1648.0,2022-07
652,2022-07-01 11:31:00,2022-07-01,233623,TK LENTA-91,Супермаркеты,-4636.63,2022-07
653,2022-07-01 08:52:00,2022-07-01,299579,YANDEX.TAXI,Отдых и развлечения,-23.0,2022-07
654,2022-07-01 08:43:00,2022-07-01,214070,YANDEX.TAXI,Отдых и развлечения,-256.0,2022-07
655,2022-07-01 00:00:00,2022-07-02,289735,WHOOSH,Транспорт,-154.0,2022-07
656,2022-06-30 18:19:00,2022-07-01,285654,SAMOKAT,Супермаркеты,-740.0,2022-07
657,2022-06-30 00:00:00,2022-07-01,282156,CHACHACHAY.ME,Супермаркеты,-100.0,2022-07
658,2022-06-30 00:00:00,2022-07-02,206151,IP Kolunin,Рестораны и кафе,-150.0,2022-07
659,2022-06-29 18:38:00,2022-06-29,226055,MAGNIT MM KABATCHIK,Супермаркеты,-629.97,2022-06
660,2022-06-29 10:18:00,2022-06-29,282816,YANDEX.TAXI,Отдых и развлечения,-11.9,2022-06
661,2022-06-29 08:14:00,2022-06-29,246243,YANDEX.TAXI,Отдых и развлечения,-133.0,2022-06
663,2022-06-28 07:48:00,2022-06-28,231894,MAGNIT MM KABATCHIK,Супермаркеты,-269.98,2022-06
664,2022-06-27 15:25:00,2022-06-28,207865,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-06
665,2022-06-27 14:58:00,2022-06-28,257383,BK BURGER RUS,Рестораны и кафе,-100.0,2022-06
666,2022-06-27 13:10:00,2022-06-27,283508,OREKH PRO,Супермаркеты,-529.0,2022-06
667,2022-06-27 13:07:00,2022-06-27,241908,MAGNIT MK NACHINENIE,Супермаркеты,-1723.98,2022-06
669,2022-06-26 16:35:00,2022-06-27,232893,MAGNIT MM KABATCHIK,Супермаркеты,-1178.28,2022-06
670,2022-06-26 16:09:00,2022-06-27,285482,LEROY MERLIN 31,Все для дома,-780.0,2022-06
671,2022-06-26 12:52:00,2022-06-27,278175,YM OZON,Прочие расходы,-2240.0,2022-06
672,2022-06-26 08:47:00,2022-06-27,246151,SBERBANK ONL@IN PLATEZH,Прочие операции,-1200.0,2022-06
673,2022-06-25 18:05:00,2022-06-25,215447,PEREKRESTOK UEZDNAYA,Супермаркеты,-1325.83,2022-06
674,2022-06-25 07:12:00,2022-06-25,291712,SAMOKAT,Супермаркеты,-830.0,2022-06
675,2022-06-24 17:55:00,2022-06-25,266702,SAMOKAT,Супермаркеты,-639.0,2022-06
677,2022-06-24 08:04:00,2022-06-24,265700,MAGNIT MM KABATCHIK,Супермаркеты,-404.97,2022-06
678,2022-06-23 18:39:00,2022-06-23,245988,IP SAMOJLOV IP,Рестораны и кафе,-1520.0,2022-06
679,2022-06-23 14:58:00,2022-06-23,256137,YANDEX.ZAPRAVKI,Автомобиль,-1927.52,2022-06
680,2022-06-23 14:47:00,2022-06-23,250995,IP BIKCHENTAEVA Z.A.,Супермаркеты,-380.0,2022-06
681,2022-06-23 14:39:00,2022-06-23,285672,IP SULEJMANOV TG,Одежда и аксессуары,-18700.0,2022-06
683,2022-06-22 18:21:00,2022-06-22,207694,MAGNIT MM KABATCHIK,Супермаркеты,-939.67,2022-06
685,2022-06-22 00:00:00,2022-06-23,291593,IP STELYUK NATALIA V,Автомобиль,-2500.0,2022-06
686,2022-06-21 09:26:00,2022-06-22,251357,YANDEX.TAXI,Отдых и развлечения,-10.9,2022-06
687,2022-06-21 08:32:00,2022-06-22,270926,YANDEX.TAXI,Отдых и развлечения,-122.0,2022-06
688,2022-06-21 08:25:00,2022-06-21,227806,MONETKA,Супермаркеты,-239.98,2022-06
690,2022-06-20 15:18:00,2022-06-21,274921,YM OZON,Прочие расходы,-2800.0,2022-06
691,2022-06-20 12:32:00,2022-06-20,248191,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-617.0,2022-06
692,2022-06-20 12:28:00,2022-06-20,242827,MAGNIT MK NACHINENIE,Супермаркеты,-389.98,2022-06
693,2022-06-20 12:22:00,2022-06-20,281175,PYATEROCHKA 21288,Супермаркеты,-1675.93,2022-06
694,2022-06-19 19:32:00,2022-06-20,228157,IP SAMOJLOV IP,Рестораны и кафе,-1366.0,2022-06
695,2022-06-19 18:18:00,2022-06-20,216111,FASOL,Супермаркеты,-265.0,2022-06
696,2022-06-19 09:39:00,2022-06-20,251135,YM OZON,Прочие расходы,-740.0,2022-06
698,2022-06-18 18:11:00,2022-06-20,266792,SAMOKAT,Супермаркеты,-412.0,2022-06
699,2022-06-18 08:33:00,2022-06-18,228032,YANDEX.TAXI,Отдых и развлечения,-14.6,2022-06
700,2022-06-18 08:24:00,2022-06-18,296168,YANDEX.TAXI,Отдых и развлечения,-163.0,2022-06
701,2022-06-18 08:16:00,2022-06-18,211372,YANDEX.TAXI,Отдых и развлечения,-17.3,2022-06
702,2022-06-18 08:12:00,2022-06-18,265720,SAMOKAT,Супермаркеты,-363.0,2022-06
703,2022-06-17 18:49:00,2022-06-17,210175,MAGNIT MM KABATCHIK,Супермаркеты,-1116.92,2022-06
704,2022-06-17 08:17:00,2022-06-17,257038,YANDEX.TAXI,Отдых и развлечения,-193.0,2022-06
705,2022-06-17 08:07:00,2022-06-17,247979,MAGNIT MM KABATCHIK,Супермаркеты,-404.97,2022-06
706,2022-06-16 19:08:00,2022-06-16,242577,APTECHNOE UCHREZHD-IE,Здоровье и красота,-457.0,2022-06
707,2022-06-16 19:02:00,2022-06-16,233615,MAGNIT MM KABATCHIK,Супермаркеты,-381.4,2022-06
708,2022-06-16 17:58:00,2022-06-16,224296,SOVETSKIJ,Отдых и развлечения,-1200.0,2022-06
709,2022-06-16 15:45:00,2022-06-16,277462,SOVETSKIJ,Отдых и развлечения,-160.0,2022-06
710,2022-06-16 12:21:00,2022-06-16,215308,SOVETSKIJ,Отдых и развлечения,-905.0,2022-06
712,2022-06-16 10:51:00,2022-06-16,216315,SOVETSKIJ,Отдых и развлечения,-240.0,2022-06
713,2022-06-16 09:18:00,2022-06-16,278038,SOVETSKIJ,Отдых и развлечения,-300.0,2022-06
714,2022-06-16 09:10:00,2022-06-16,293068,SOVETSKIJ,Отдых и развлечения,-260.0,2022-06
715,2022-06-16 08:50:00,2022-06-16,262105,SOVETSKIJ,Отдых и развлечения,-200.0,2022-06
716,2022-06-16 07:45:00,2022-06-16,299238,SOVETSKIJ,Отдых и развлечения,-90.0,2022-06
717,2022-06-15 16:39:00,2022-06-15,235934,SOVETSKIJ,Отдых и развлечения,-1120.0,2022-06
718,2022-06-15 14:10:00,2022-06-15,227575,SOVETSKIJ,Отдых и развлечения,-1200.0,2022-06
719,2022-06-15 12:52:00,2022-06-15,299597,PYATEROCHKA 21288,Супермаркеты,-2574.72,2022-06
720,2022-06-15 00:00:00,2022-06-16,204950,SPORTMASTER 5766,Одежда и аксессуары,-2399.0,2022-06
721,2022-06-14 18:01:00,2022-06-14,273684,MAGNIT MM KABATCHIK,Супермаркеты,-571.34,2022-06
722,2022-06-14 08:21:00,2022-06-14,285365,MONETKA,Супермаркеты,-239.98,2022-06
724,2022-06-13 21:13:00,2022-06-14,252336,WWW.ITPC.RU,"Комунальные платежи, связь, интернет.",-10459.52,2022-06
725,2022-06-13 21:04:00,2022-06-14,280360,YM OZON,Прочие расходы,-286.0,2022-06
727,2022-06-13 16:38:00,2022-06-13,224039,PEREKRESTOK UEZDNAYA,Супермаркеты,-2219.12,2022-06
728,2022-06-13 15:49:00,2022-06-13,220158,FIXPRICE 8114,Супермаркеты,-393.9,2022-06
729,2022-06-13 15:40:00,2022-06-13,278979,GIPERMARKET RICH FEMILI,Отдых и развлечения,-4243.0,2022-06
730,2022-06-13 00:00:00,2022-06-14,274065,TEK SURGUTSKOE MRO,"Комунальные платежи, связь, интернет.",-1359.61,2022-06
731,2022-06-12 16:59:00,2022-06-13,208785,OREKH PRO,Супермаркеты,-236.0,2022-06
732,2022-06-12 16:57:00,2022-06-13,240447,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-1045.44,2022-06
733,2022-06-12 00:00:00,2022-06-13,208530,Magazin dlya konditerov,Отдых и развлечения,-55.0,2022-06
735,2022-06-11 19:09:00,2022-06-13,284258,IVI.RU 7,Отдых и развлечения,-99.0,2022-06
736,2022-06-11 18:21:00,2022-06-11,215528,MAGNIT MM KABATCHIK,Супермаркеты,-1440.25,2022-06
737,2022-06-11 17:38:00,2022-06-11,262698,APTEKA N1561,Здоровье и красота,-50.0,2022-06
738,2022-06-11 09:53:00,2022-06-11,264396,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-06
739,2022-06-11 09:28:00,2022-06-11,290734,MAGNIT MM KABATCHIK,Супермаркеты,-139.99,2022-06
740,2022-06-10 18:36:00,2022-06-11,271970,YANDEX.ZAPRAVKI,Автомобиль,-1804.01,2022-06
741,2022-06-10 10:04:00,2022-06-10,265584,YANDEX.TAXI,Отдых и развлечения,-22.5,2022-06
742,2022-06-10 08:48:00,2022-06-10,285837,YANDEX.TAXI,Отдых и развлечения,-251.0,2022-06
743,2022-06-10 08:38:00,2022-06-10,201386,MAGNIT MM KABATCHIK,Супермаркеты,-139.99,2022-06
744,2022-06-09 18:25:00,2022-06-09,265039,VOLNA,Здоровье и красота,-680.0,2022-06
745,2022-06-09 15:33:00,2022-06-09,272016,VOLNA,Здоровье и красота,-1600.0,2022-06
746,2022-06-09 10:57:00,2022-06-09,256895,CHIO CHIO,Здоровье и красота,-400.0,2022-06
747,2022-06-09 10:28:00,2022-06-10,225237,YM OZON,Прочие расходы,-3246.0,2022-06
748,2022-06-09 00:00:00,2022-06-09,250111,Погашение процентов за покупки вне льготного периода,Прочие операции,-5694.13,2022-06
750,2022-06-08 19:13:00,2022-06-09,260573,SAMOKAT,Супермаркеты,-1134.0,2022-06
751,2022-06-08 09:04:00,2022-06-08,283099,MAGNIT MM KABATCHIK,Супермаркеты,-139.99,2022-06
752,2022-06-08 00:00:00,2022-06-09,217826,IP STELYUK NATALIA V,Автомобиль,-100.0,2022-06
753,2022-06-07 18:19:00,2022-06-07,277344,MAGNIT MM KABATCHIK,Супермаркеты,-1377.49,2022-06
754,2022-06-07 08:35:00,2022-06-07,296396,MONETKA,Супермаркеты,-119.99,2022-06
755,2022-06-06 17:33:00,2022-06-06,253311,IP SAMOJLOV IP,Рестораны и кафе,-1454.0,2022-06
756,2022-06-06 17:16:00,2022-06-06,299536,MAGNIT MM OROBLANKO,Супермаркеты,-4.99,2022-06
757,2022-06-06 17:16:00,2022-06-06,292283,MAGNIT MM OROBLANKO,Супермаркеты,-215.97,2022-06
758,2022-06-06 17:06:00,2022-06-06,269976,SP IMMUNITI,Здоровье и красота,-900.0,2022-06
759,2022-06-06 13:49:00,2022-06-06,277665,BAZA KOVRY,Все для дома,-1400.0,2022-06
761,2022-06-05 19:55:00,2022-06-06,276685,SAMOKAT,Супермаркеты,-595.0,2022-06
762,2022-06-05 17:40:00,2022-06-06,288675,MONETKA,Супермаркеты,-59.99,2022-06
763,2022-06-05 17:39:00,2022-06-06,279394,MONETKA,Супермаркеты,-505.59,2022-06
764,2022-06-05 13:46:00,2022-06-06,283006,MAGNIT MM KABATCHIK,Супермаркеты,-134.99,2022-06
765,2022-06-04 17:47:00,2022-06-04,247940,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1627.0,2022-06
766,2022-06-04 17:34:00,2022-06-04,267870,MAGNIT MM KABATCHIK,Супермаркеты,-969.97,2022-06
768,2022-06-03 21:41:00,2022-06-04,228749,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-06
769,2022-06-03 21:40:00,2022-06-04,265524,SBERBANK ONL@IN PLATEZH,Прочие операции,-6565.0,2022-06
771,2022-06-03 18:02:00,2022-06-04,261719,YANDEX.ZAPRAVKI,Автомобиль,-999.69,2022-06
772,2022-06-03 08:24:00,2022-06-03,230796,MONETKA,Супермаркеты,-419.95,2022-06
773,2022-06-03 00:00:00,2022-06-04,209463,IP SEDININA L.A.,Автомобиль,-700.0,2022-06
774,2022-06-02 15:56:00,2022-06-02,239751,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-613.53,2022-06
775,2022-06-02 08:21:00,2022-06-02,274112,YANDEX.TAXI,Отдых и развлечения,-14.4,2022-06
776,2022-06-02 07:05:00,2022-06-02,293357,SAMOKAT,Супермаркеты,-654.0,2022-06
777,2022-06-02 00:00:00,2022-06-03,256088,CHACHACHAY.ME,Супермаркеты,-100.0,2022-06
778,2022-06-02 00:00:00,2022-06-03,234542,TVORIM CHUDESA,Отдых и развлечения,-906.4,2022-06
780,2022-06-01 08:21:00,2022-06-01,258433,YANDEX.TAXI,Отдых и развлечения,-161.0,2022-06
781,2022-05-31 07:54:00,2022-05-31,243086,YANDEX.TAXI,Отдых и развлечения,-19.0,2022-05
782,2022-05-31 07:51:00,2022-05-31,294138,YANDEX.TAXI,Отдых и развлечения,-212.0,2022-05
783,2022-05-30 18:31:00,2022-05-30,208157,APTEKA N1561,Здоровье и красота,-242.0,2022-05
784,2022-05-30 18:19:00,2022-05-30,213496,MAGNIT MM OROBLANKO,Супермаркеты,-1128.81,2022-05
785,2022-05-30 18:02:00,2022-05-30,257968,SP IMMUNITI,Здоровье и красота,-900.0,2022-05
786,2022-05-30 16:13:00,2022-05-30,244230,FARMSOYUZ,Здоровье и красота,-35.0,2022-05
787,2022-05-30 15:39:00,2022-05-30,274439,MAGNIT MM CHESTOLYUBIVYJ,Супермаркеты,-900.67,2022-05
788,2022-05-30 08:28:00,2022-05-30,214021,MONETKA,Супермаркеты,-119.99,2022-05
790,2022-05-30 00:00:00,2022-05-31,289522,IP Toportcov V.V.,Путешествия,-800.0,2022-05
791,2022-05-29 16:30:00,2022-05-30,250242,VOLNA,Здоровье и красота,-2000.0,2022-05
792,2022-05-29 16:00:00,2022-05-30,229176,MAGNIT MM MENOMINI,Супермаркеты,-119.98,2022-05
793,2022-05-29 15:58:00,2022-05-30,269458,APTEKA UL.SPASSKAYA,Здоровье и красота,-643.0,2022-05
794,2022-05-29 08:33:00,2022-05-30,208178,MONETKA,Супермаркеты,-119.99,2022-05
795,2022-05-28 18:24:00,2022-05-30,240080,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1183.0,2022-05
796,2022-05-28 18:04:00,2022-05-28,264076,MONETKA,Супермаркеты,-782.92,2022-05
797,2022-05-28 09:50:00,2022-05-28,210843,MAGAZIN CVETY,Все для дома,-140.0,2022-05
798,2022-05-28 09:20:00,2022-05-28,293649,MONETKA,Супермаркеты,-134.98,2022-05
799,2022-05-27 18:49:00,2022-05-27,271836,MONETKA,Супермаркеты,-202.96,2022-05
800,2022-05-27 11:42:00,2022-05-27,271495,MAGNIT MM KABATCHIK,Супермаркеты,-395.87,2022-05
801,2022-05-27 00:00:00,2022-05-28,203999,ADACT,Все для дома,-3600.0,2022-05
802,2022-05-27 00:00:00,2022-05-28,204796,YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-05
804,2022-05-26 12:01:00,2022-05-27,227135,YM OZON,Прочие расходы,-3359.0,2022-05
806,2022-05-26 00:00:00,2022-05-27,235833,TVORIM CHUDESA,Отдых и развлечения,-527.7,2022-05
808,2022-05-25 19:02:00,2022-05-25,280573,MAGNIT MK NACHINENIE,Супермаркеты,-999.0,2022-05
809,2022-05-25 19:00:00,2022-05-25,238494,MAGNIT MM KABATCHIK,Супермаркеты,-518.84,2022-05
810,2022-05-25 07:37:00,2022-05-25,232429,MAGNIT MM KABATCHIK,Супермаркеты,-269.98,2022-05
811,2022-05-24 23:39:00,2022-05-25,279225,YM OZON,Прочие расходы,-350.0,2022-05
812,2022-05-24 17:45:00,2022-05-24,260477,MAGNIT MM KABATCHIK,Супермаркеты,-817.89,2022-05
813,2022-05-23 00:00:00,2022-05-24,281016,CHACHACHAY.ME,Супермаркеты,-50.0,2022-05
814,2022-05-23 00:00:00,2022-05-25,298410,Delivery-Club.Grocery,Супермаркеты,-999.0,2022-05
815,2022-05-22 17:47:00,2022-05-23,221253,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1858.0,2022-05
816,2022-05-22 08:44:00,2022-05-23,288256,CHIO CHIO,Здоровье и красота,-400.0,2022-05
817,2022-05-21 16:46:00,2022-05-21,276485,IP OSIPOVA T.S.,Супермаркеты,-439.0,2022-05
818,2022-05-21 16:39:00,2022-05-21,211858,IP OSIPOVA T.S.,Супермаркеты,-300.0,2022-05
819,2022-05-21 00:00:00,2022-05-23,278388,"Chaihana ""Pavlin""",Рестораны и кафе,-3299.0,2022-05
821,2022-05-20 17:37:00,2022-05-20,201943,MAGNIT MM KABATCHIK,Супермаркеты,-499.29,2022-05
822,2022-05-20 08:26:00,2022-05-20,215411,MAGNIT MM KABATCHIK,Супермаркеты,-681.94,2022-05
823,2022-05-19 19:15:00,2022-05-20,270596,YANDEX.ZAPRAVKI,Автомобиль,-2081.6,2022-05
825,2022-05-19 16:12:00,2022-05-19,236582,MAGNIT MM KABATCHIK,Супермаркеты,-328.48,2022-05
826,2022-05-19 00:00:00,2022-05-20,274269,TVORIM CHUDESA,Отдых и развлечения,-1073.7,2022-05
827,2022-05-18 18:22:00,2022-05-18,238585,MAGNIT MM KABATCHIK,Супермаркеты,-696.7,2022-05
828,2022-05-18 11:12:00,2022-05-19,230579,YM OZON 2,Прочие расходы,-4808.0,2022-05
829,2022-05-18 00:00:00,2022-05-19,269161,SLUZHBA DOSTAVKI EDY 3,Рестораны и кафе,-1251.0,2022-05
831,2022-05-17 18:18:00,2022-05-17,250497,PYATEROCHKA 21288,Супермаркеты,-199.16,2022-05
832,2022-05-17 08:10:00,2022-05-17,279913,MAGNIT MM KABATCHIK,Супермаркеты,-269.98,2022-05
833,2022-05-16 08:55:00,2022-05-16,280829,MAGNIT MM KABATCHIK,Супермаркеты,-319.15,2022-05
834,2022-05-16 00:00:00,2022-05-17,267324,M-N MIRRAJ,Супермаркеты,-218.0,2022-05
835,2022-05-15 17:55:00,2022-05-16,278072,SVETLOE I TEMNOE,Супермаркеты,-6.99,2022-05
836,2022-05-15 17:54:00,2022-05-16,298141,SVETLOE I TEMNOE,Супермаркеты,-465.96,2022-05
837,2022-05-15 17:50:00,2022-05-16,269049,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-961.73,2022-05
839,2022-05-15 08:19:00,2022-05-16,294225,MAGNIT MM KABATCHIK,Супермаркеты,-347.16,2022-05
841,2022-05-14 18:03:00,2022-05-14,242766,OOO BIONTA 42,Здоровье и красота,-301.0,2022-05
842,2022-05-14 00:00:00,2022-05-16,272656,Yandex.Zapravki,Автомобиль,-1876.4,2022-05
843,2022-05-13 17:27:00,2022-05-13,236949,"TYUMEN, PROTOZANOVA ,8",Супермаркеты,-228.1,2022-05
844,2022-05-13 08:19:00,2022-05-13,229246,MAGNIT MM KABATCHIK,Супермаркеты,-404.97,2022-05
845,2022-05-12 13:51:00,2022-05-12,216615,PYATEROCHKA 21288,Супермаркеты,-1001.86,2022-05
846,2022-05-12 12:19:00,2022-05-12,200118,LEROY MERLIN 31,Все для дома,-1452.4,2022-05
847,2022-05-12 11:41:00,2022-05-12,295408,MEBEL,Все для дома,-325.0,2022-05
848,2022-05-12 11:06:00,2022-05-12,234242,GIPERMARKET RICH FEMILI,Отдых и развлечения,-2393.0,2022-05
850,2022-05-12 00:00:00,2022-05-13,208658,IP PONOMAREV,Рестораны и кафе,-120.0,2022-05
851,2022-05-12 00:00:00,2022-05-13,249592,IP PONOMAREV,Рестораны и кафе,-120.0,2022-05
852,2022-05-12 00:00:00,2022-05-13,239385,Klinika na Gubernskoy,Здоровье и красота,-1000.0,2022-05
853,2022-05-11 18:27:00,2022-05-11,202335,MAGNIT MM KABATCHIK,Супермаркеты,-352.48,2022-05
854,2022-05-11 18:19:00,2022-05-11,289466,PYATEROCHKA 21288,Супермаркеты,-304.36,2022-05
855,2022-05-11 09:53:00,2022-05-11,290183,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-05
856,2022-05-11 00:00:00,2022-05-13,245206,CloudTips,Рестораны и кафе,-53.8,2022-05
857,2022-05-10 18:00:00,2022-05-10,280498,MAGNIT MM KABATCHIK,Супермаркеты,-1602.33,2022-05
